# Created by CAVA2.0.11 based on MANE release 1.1
GENEID	SYMBOL	Transcript	Protein
OR4F5	OR4F5	NM_001005484.2	NP_001005484.2
OR4F29	OR4F29	NM_001005221.2	NP_001005221.2
OR4F16	OR4F16	NM_001005277.1	NP_001005277.1
SAMD11	SAMD11	NM_001385641.1	NP_001372570.1
NOC2L	NOC2L	NM_015658.4	NP_056473.3
KLHL17	KLHL17	NM_198317.3	NP_938073.1
PLEKHN1	PLEKHN1	NM_032129.3	NP_115505.2
PERM1	PERM1	NM_001394713.1	NP_001381642.1
HES4	HES4	NM_021170.4	NP_066993.1
ISG15	ISG15	NM_005101.4	NP_005092.1
AGRN	AGRN	NM_198576.4	NP_940978.2
RNF223	RNF223	NM_001205252.2	NP_001192181.1
C1orf159	C1orf159	NM_017891.5	NP_060361.4
TTLL10	TTLL10	NM_001130045.2	NP_001123517.1
TNFRSF18	TNFRSF18	NM_004195.3	NP_004186.1
TNFRSF4	TNFRSF4	NM_003327.4	NP_003318.1
SDF4	SDF4	NM_016176.6	NP_057260.3
B3GALT6	B3GALT6	NM_080605.4	NP_542172.2
C1QTNF12	C1QTNF12	NM_001014980.3	NP_001014980.1
UBE2J2	UBE2J2	NM_058167.3	NP_477515.2
SCNN1D	SCNN1D	NM_001130413.4	NP_001123885.2
ACAP3	ACAP3	NM_030649.3	NP_085152.2
PUSL1	PUSL1	NM_153339.3	NP_699170.1
INTS11	INTS11	NM_017871.6	NP_060341.2
CPTP	CPTP	NM_001029885.2	NP_001025056.1
TAS1R3	TAS1R3	NM_152228.3	NP_689414.2
DVL1	DVL1	NM_001330311.2	NP_001317240.1
MXRA8	MXRA8	NM_032348.4	NP_115724.1
AURKAIP1	AURKAIP1	NM_017900.3	NP_060370.1
CCNL2	CCNL2	NM_030937.6	NP_112199.2
MRPL20	MRPL20	NM_017971.4	NP_060441.2
ANKRD65	ANKRD65	NM_001145210.3	NP_001138682.1
TMEM88B	TMEM88B	NM_001146685.2	NP_001140157.1
VWA1	VWA1	NM_022834.5	NP_073745.2
ATAD3C	ATAD3C	NM_001039211.3	NP_001034300.2
ATAD3B	ATAD3B	NM_031921.6	NP_114127.3
ATAD3A	ATAD3A	NM_001170535.3	NP_001164006.1
TMEM240	TMEM240	NM_001114748.2	NP_001108220.1
SSU72	SSU72	NM_014188.3	NP_054907.1
FNDC10	FNDC10	NM_001242659.2	NP_001229588.1
MIB2	MIB2	NM_001170687.4	NP_001164158.3
MMP23B	MMP23B	NM_006983.2	NP_008914.1
