gene	SECIS_maxstart	SECIS_maxend	accn	last_sec_pos	cds_start	cds_end	mRNA_len
TXNRD2	1916	1986	ENST00000400518	1661	185	1669	2020
TXNRD2	1916	1986	ENST00000542719	1661	383	1669	2020
TXNRD2	3066	3136	ENST00000400519	1579	16	1587	3170
TXNRD2	1837	1907	ENST00000400521	1582	16	1590	1941
SELENOO	2150	2228	ENST00000380903	2025	27	2036	2283
GPX3	1423	1498	ENST00000388825	308	65	772	1630
GPX3	1395	1471	ENST00000388825	281	65	745	1603
SELENOF	1053	1134	ENST00000370554	301	16	390	1492
GPX4	625	701	ENST00000611653	204	69	581	788
GPX4	710	786	ENST00000354171	267	51	734	873
GPX4	688	764	ENST00000354171	267	51	644	851
GPX4	834	910	ENST00000585362	413	86	790	997
SELENOF	1103	1184	ENST00000331835	301	16	513	1542
SELENOI	2549	2627	ENST00000260585	1249	91	1284	8066
SELENOH	523	590	ENST00000534355	235	106	474	1192
GPX6	1335	1408	ENST00000627846	267	51	716	1712
GPX6	1335	1408	ENST00000361902	267	51	716	1712
GPX1	759	827	ENST00000646881	220	76	588	918
GPX1	1019	1087	ENST00000419349	220	76	372	1178
GPX1	881	949	ENST00000496791	220	76	390	1040
GPX1	740	808	ENST00000419783	220	76	687	899
SELENON	2803	2870	ENST00000374315	1320	39	1709	4212
SELENON	2905	2972	ENST00000361547	1422	39	1811	4314
DIO2	5697	5769	ENST00000438257	429	33	830	6017
DIO2	5697	5769	ENST00000438257	828	33	854	6017
DIO2	6063	6135	ENST00000438257	795	399	1196	6383
DIO2	6054	6126	ENST00000557010	786	390	1187	6374
DIO3	1498	1571	ENST00000510508	510	3	917	1958
SELENOH	502	570	ENST00000534355	235	106	474	1172
TXNRD1	1829	1915	ENST00000503506	1606	115	1614	3500
TXNRD1	2176	2262	ENST00000526691	1953	306	1961	3847
TXNRD1	2066	2152	ENST00000503506	1843	352	1851	3737
TXNRD1	1939	2025	ENST00000503506	1716	225	1724	3610
TXNRD1	2261	2347	ENST00000526691	2038	397	2046	3932
TXNRD1	1816	1902	ENST00000529546	1593	216	1601	3487
TXNRD1	2189	2275	ENST00000525566	1966	25	1974	3860
SELENOW	380	468	ENST00000601048	120	84	347	758
SELENOT	687	761	ENST00000471696	187	43	630	3437
TXNRD3	2275	2351	ENST00000524230	2058	135	2066	2921
TXNRD3	2167	2243	ENST00000523403	1950	135	1958	2813
SELENOP	1556	1638	ENST00000514985	1290	69	1304	2144
MSRB1	871	942	ENST00000709225	326	44	394	1277
MSRB1	871	942	ENST00000361871	326	44	394	1277
SEPHS2	2058	2134	ENST00000478753	325	148	1494	2244
SELENOS	986	1065	ENST00000526049	630	69	638	1218
SELENOM	537	617	ENST00000400299	205	64	501	694
SELENOK	475	562	ENST00000495461	345	72	356	1497
SELENOV	1138	1210	ENST00000335426	891	75	1115	1667
GPX2	811	875	ENST00000389614	137	20	592	922
DIO1	1545	1615	ENST00000322679	400	25	510	1661
DIO1	1745	1815	ENST00000361921	400	25	774	1861
DIO1	1553	1623	ENST00000525202	208	25	582	1669
SELENOV	1089	1161	ENST00000335426	917	101	1066	1629
SELENOP	1497	1579	ENST00000511224	1231	100	1245	2085
SELENOP	1468	1550	ENST00000514985	1202	71	1216	2056
