gene	SECIS_maxstart	SECIS_maxend	accn	last_sec_pos	cds_start	cds_end	mRNA_len
TXNRD2	1916	1986	NM_001352301.2	1661	185	1669	2020
TXNRD2	1916	1986	NM_001352302.2	1661	383	1669	2020
TXNRD2	3066	3136	NM_001352300.2	1579	16	1587	3170
TXNRD2	1837	1907	NM_006440.5	1582	16	1590	1941
SELENOO	2150	2228	NM_031454.2	2025	27	2036	2283
GPX3	1423	1498	NM_001329790.2	308	65	772	1630
GPX3	1395	1471	NM_002084.5	281	65	745	1603
SELENOF	1053	1134	NM_203341.3	301	16	390	1492
GPX4	625	701	NM_001367832.1	204	69	581	788
GPX4	710	786	NM_001039847.3	267	51	734	873
GPX4	688	764	NM_002085.5	267	51	644	851
GPX4	834	910	NM_001039848.4	413	86	790	997
SELENOF	1103	1184	NM_004261.5	301	16	513	1542
SELENOI	2549	2627	NM_033505.4	1249	91	1284	8066
SELENOH	523	590	NM_170746.4	235	106	474	1192
GPX6	1335	1408	NM_182701.1	267	51	716	1712
GPX1	759	827	NM_001329503.2	220	76	588	918
GPX1	1019	1087	NM_201397.3	220	76	372	1178
GPX1	881	949	NM_001329502.2	220	76	390	1040
GPX1	740	808	NM_000581.4	220	76	687	899
SELENON	2803	2870	NM_206926.2	1320	39	1709	4212
SELENON	2905	2972	NM_020451.3	1422	39	1811	4314
DIO2	5697	5769	NM_001366496.1	429	33	830	6017
DIO2	5697	5769	NM_013989.5	828	33	854	6017
DIO2	6063	6135	NM_001324462.2	795	399	1196	6383
DIO2	6054	6126	NM_000793.6	786	390	1187	6374
DIO3	1498	1571	NM_001362.4	510	3	917	1958
SELENOH	502	570	NM_001321335.2	235	106	474	1172
TXNRD1	1829	1915	NM_182743.3	1606	115	1614	3500
TXNRD1	2176	2262	NM_003330.4	1953	306	1961	3847
TXNRD1	2066	2152	NM_182742.3	1843	352	1851	3737
TXNRD1	1939	2025	NM_182729.3	1716	225	1724	3610
TXNRD1	2261	2347	NM_001261445.2	2038	397	2046	3932
TXNRD1	1816	1902	NM_001261446.2	1593	216	1601	3487
TXNRD1	2189	2275	NM_001093771.3	1966	25	1974	3860
SELENOW	380	468	NM_003009.4	120	84	347	758
SELENOT	687	761	NM_016275.5	187	43	630	3437
TXNRD3	2275	2351	NM_052883.3	2058	135	2066	2921
TXNRD3	2167	2243	NM_001173513.3	1950	135	1958	2813
SELENOP	1556	1638	NM_001093726.3	1290	69	1304	2144
MSRB1	871	942	NM_016332.4	326	44	394	1277
SEPHS2	2058	2134	NM_012248.4	325	148	1494	2244
SELENOS	986	1065	NM_018445.6	630	69	638	1218
SELENOM	537	617	NM_080430.4	205	64	501	694
SELENOK	475	562	NM_021237.5	345	72	356	1497
SELENOV	1138	1210	NM_182704.2	891	75	1115	1667
GPX2	811	875	NM_002083.4	137	20	592	922
DIO1	1545	1615	NM_001039716.3	400	25	510	1661
DIO1	1745	1815	NM_000792.7	400	25	774	1861
DIO1	1553	1623	NM_213593.5	208	25	582	1669
SELENOV	1089	1161	NM_001350809.1	917	101	1066	1629
SELENOP	1497	1579	NM_001085486.3	1231	100	1245	2085
SELENOP	1468	1550	NM_005410.4	1202	71	1216	2056
