# Created by CAVA ensembl_db 2.0.13 based on Ensembl release 75
#GENEID	SYMBOL	Transcript	Protein
ENSG00000186092	OR4F5	ENST00000335137	ENSP00000334393
ENSG00000235249	OR4F29	ENST00000426406	ENSP00000409316
ENSG00000185097	OR4F16	ENST00000332831	ENSP00000329982
ENSG00000187634	SAMD11	ENST00000342066	ENSP00000342313
ENSG00000188976	NOC2L	ENST00000327044	ENSP00000317992
ENSG00000187961	KLHL17	ENST00000338591	ENSP00000343930
ENSG00000187583	PLEKHN1	ENST00000379410	ENSP00000368720
ENSG00000187583	PLEKHN1	ENST00000379409	ENSP00000368719
ENSG00000187583	PLEKHN1	ENST00000379407	ENSP00000368717
ENSG00000187642	C1orf170	ENST00000433179	ENSP00000414022
ENSG00000187642	C1orf170	ENST00000341290	ENSP00000343864
ENSG00000188290	HES4	ENST00000428771	ENSP00000393198
ENSG00000188290	HES4	ENST00000304952	ENSP00000304595
ENSG00000188290	HES4	ENST00000484667	ENSP00000425085
ENSG00000187608	ISG15	ENST00000379389	ENSP00000368699
ENSG00000188157	AGRN	ENST00000379370	ENSP00000368678
ENSG00000237330	RNF223	ENST00000453464	ENSP00000410533
ENSG00000131591	C1orf159	ENST00000379339	ENSP00000368644
ENSG00000131591	C1orf159	ENST00000448924	ENSP00000392290
ENSG00000131591	C1orf159	ENST00000294576	ENSP00000294576
ENSG00000131591	C1orf159	ENST00000421241	ENSP00000400736
ENSG00000131591	C1orf159	ENST00000379320	ENSP00000368624
ENSG00000131591	C1orf159	ENST00000379319	ENSP00000368623
ENSG00000131591	C1orf159	ENST00000437760	ENSP00000399027
ENSG00000162571	TTLL10	ENST00000379290	ENSP00000368592
ENSG00000162571	TTLL10	ENST00000379289	ENSP00000368591
ENSG00000162571	TTLL10	ENST00000379288	ENSP00000368590
ENSG00000186891	TNFRSF18	ENST00000328596	ENSP00000328207
ENSG00000186891	TNFRSF18	ENST00000379268	ENSP00000368570
ENSG00000186891	TNFRSF18	ENST00000486728	ENSP00000462735
ENSG00000186891	TNFRSF18	ENST00000379265	ENSP00000368567
ENSG00000186827	TNFRSF4	ENST00000379236	ENSP00000368538
ENSG00000078808	SDF4	ENST00000360001	ENSP00000353094
ENSG00000078808	SDF4	ENST00000263741	ENSP00000263741
ENSG00000078808	SDF4	ENST00000545427	ENSP00000444451
ENSG00000176022	B3GALT6	ENST00000379198	ENSP00000368496
ENSG00000184163	FAM132A	ENST00000330388	ENSP00000329137
ENSG00000160087	UBE2J2	ENST00000347370	ENSP00000344857
ENSG00000160087	UBE2J2	ENST00000349431	ENSP00000305826
ENSG00000160087	UBE2J2	ENST00000339385	ENSP00000340197
ENSG00000160087	UBE2J2	ENST00000348298	ENSP00000342541
ENSG00000160087	UBE2J2	ENST00000400929	ENSP00000383718
ENSG00000160087	UBE2J2	ENST00000360466	ENSP00000353653
ENSG00000160087	UBE2J2	ENST00000400930	ENSP00000383719
ENSG00000162572	SCNN1D	ENST00000379116	ENSP00000368411
ENSG00000162572	SCNN1D	ENST00000338555	ENSP00000339504
ENSG00000162572	SCNN1D	ENST00000325425	ENSP00000321594
ENSG00000162572	SCNN1D	ENST00000400928	ENSP00000383717
ENSG00000131584	ACAP3	ENST00000354700	ENSP00000346733
ENSG00000131584	ACAP3	ENST00000353662	ENSP00000321139
ENSG00000169972	PUSL1	ENST00000379031	ENSP00000368318
ENSG00000127054	CPSF3L	ENST00000435064	ENSP00000413493
ENSG00000127054	CPSF3L	ENST00000411962	ENSP00000400548
ENSG00000127054	CPSF3L	ENST00000421495	ENSP00000464436
ENSG00000127054	CPSF3L	ENST00000419704	ENSP00000404886
ENSG00000127054	CPSF3L	ENST00000540437	ENSP00000445001
ENSG00000127054	CPSF3L	ENST00000450926	ENSP00000392848
ENSG00000127054	CPSF3L	ENST00000545578	ENSP00000444672
ENSG00000224051	GLTPD1	ENST00000343938	ENSP00000343890
ENSG00000169962	TAS1R3	ENST00000339381	ENSP00000344411
ENSG00000107404	DVL1	ENST00000378891	ENSP00000368169
ENSG00000107404	DVL1	ENST00000378888	ENSP00000368166
ENSG00000162576	MXRA8	ENST00000309212	ENSP00000307887
ENSG00000162576	MXRA8	ENST00000445648	ENSP00000399229
ENSG00000162576	MXRA8	ENST00000477278	ENSP00000436135
ENSG00000162576	MXRA8	ENST00000342753	ENSP00000344998
ENSG00000175756	AURKAIP1	ENST00000338370	ENSP00000342676
ENSG00000175756	AURKAIP1	ENST00000338338	ENSP00000340656
ENSG00000175756	AURKAIP1	ENST00000321751	ENSP00000319778
ENSG00000175756	AURKAIP1	ENST00000378853	ENSP00000368130
ENSG00000221978	CCNL2	ENST00000408952	ENSP00000386132
ENSG00000221978	CCNL2	ENST00000400809	ENSP00000383611
ENSG00000221978	CCNL2	ENST00000408918	ENSP00000386158
ENSG00000224870	RP4-758J18.2	ENST00000448629	ENSP00000460786
ENSG00000224870	RP4-758J18.2	ENST00000444362	ENSP00000461720
ENSG00000224870	RP4-758J18.2	ENST00000576232	ENSP00000464028
ENSG00000242485	MRPL20	ENST00000344843	ENSP00000341082
ENSG00000242485	MRPL20	ENST00000482352	ENSP00000460924
ENSG00000235098	ANKRD65	ENST00000520296	ENSP00000429035
ENSG00000235098	ANKRD65	ENST00000427211	ENSP00000428419
ENSG00000235098	ANKRD65	ENST00000537107	ENSP00000445688
ENSG00000235098	ANKRD65	ENST00000442470	ENSP00000428201
ENSG00000205116	TMEM88B	ENST00000378821	ENSP00000455099
ENSG00000179403	VWA1	ENST00000338660	ENSP00000423404
ENSG00000179403	VWA1	ENST00000404702	ENSP00000385008
ENSG00000179403	VWA1	ENST00000476993	ENSP00000417185
ENSG00000215915	ATAD3C	ENST00000378785	ENSP00000368062
ENSG00000160072	ATAD3B	ENST00000378741	ENSP00000368015
ENSG00000160072	ATAD3B	ENST00000308647	ENSP00000311766
ENSG00000197785	ATAD3A	ENST00000378756	ENSP00000368031
ENSG00000197785	ATAD3A	ENST00000378755	ENSP00000368030
ENSG00000197785	ATAD3A	ENST00000536055	ENSP00000439290
ENSG00000205090	TMEM240	ENST00000378733	ENSP00000368007
ENSG00000205090	TMEM240	ENST00000425828	ENSP00000400311
ENSG00000160075	SSU72	ENST00000291386	ENSP00000291386
ENSG00000160075	SSU72	ENST00000359060	ENSP00000351955
ENSG00000228594	C1orf233	ENST00000422725	ENSP00000389111
ENSG00000197530	MIB2	ENST00000520777	ENSP00000428660
ENSG00000197530	MIB2	ENST00000357210	ENSP00000349741
ENSG00000197530	MIB2	ENST00000360522	ENSP00000353713
ENSG00000197530	MIB2	ENST00000378710	ENSP00000367982
ENSG00000197530	MIB2	ENST00000355826	ENSP00000348081
ENSG00000197530	MIB2	ENST00000518681	ENSP00000428264
ENSG00000197530	MIB2	ENST00000505820	ENSP00000426103
ENSG00000197530	MIB2	ENST00000378712	ENSP00000367984
ENSG00000197530	MIB2	ENST00000504599	ENSP00000426128
ENSG00000197530	MIB2	ENST00000378708	ENSP00000367980
ENSG00000189409	MMP23B	ENST00000356026	ENSP00000348308
ENSG00000189409	MMP23B	ENST00000378675	ENSP00000367945
ENSG00000248333	CDK11B	ENST00000407249	ENSP00000464036
ENSG00000248333	CDK11B	ENST00000317673	ENSP00000463200
ENSG00000248333	CDK11B	ENST00000340677	ENSP00000464016
ENSG00000248333	CDK11B	ENST00000341832	ENSP00000463048
ENSG00000189339	SLC35E2B	ENST00000378662	ENSP00000367931
ENSG00000189339	SLC35E2B	ENST00000234800	ENSP00000234800
ENSG00000008128	CDK11A	ENST00000356200	ENSP00000348529
ENSG00000008128	CDK11A	ENST00000378638	ENSP00000367905
ENSG00000008128	CDK11A	ENST00000404249	ENSP00000384442
ENSG00000008128	CDK11A	ENST00000357760	ENSP00000350403
ENSG00000008128	CDK11A	ENST00000358779	ENSP00000351629
ENSG00000008128	CDK11A	ENST00000378633	ENSP00000367900
ENSG00000008128	CDK11A	ENST00000378635	ENSP00000367902
ENSG00000215790	SLC35E2	ENST00000355439	ENSP00000347614
ENSG00000215790	SLC35E2	ENST00000400924	ENSP00000383714
ENSG00000215790	SLC35E2	ENST00000246421	ENSP00000246421
ENSG00000008130	NADK	ENST00000341426	ENSP00000341679
ENSG00000008130	NADK	ENST00000341991	ENSP00000344340
ENSG00000008130	NADK	ENST00000378625	ENSP00000367890
ENSG00000008130	NADK	ENST00000344463	ENSP00000340925
ENSG00000008130	NADK	ENST00000342348	ENSP00000339727
ENSG00000078369	GNB1	ENST00000378609	ENSP00000367872
