gene	SECIS_maxstart	SECIS_maxend	accn	last_sec_pos	cds_start	cds_end	mRNA_len
TXNRD2	1837	1907	ENST00000400521	1582	16	1590	1941
SELENOO	2182	2260	ENST00000380903	2057	59	2068	2327
GPX3	1395	1471	ENST00000388825	281	65	745	1603
SELENOF	1053	1134	ENST00000370554	301	16	390	1492
GPX4	710	786	ENST00000354171	267	51	734	873
GPX4	688	764	ENST00000354171	267	51	644	851
SELENOF	1103	1184	ENST00000331835	301	16	513	1542
SELENOI	2549	2627	ENST00000260585	1249	91	1284	8066
SELENOH	523	590	ENST00000534355	235	106	474	1192
GPX6	1335	1408	ENST00000361902	267	51	716	1712
GPX1	1019	1087	ENST00000419349	220	76	372	1178
GPX1	740	808	ENST00000419783	220	76	687	899
SELENON	2820	2887	ENST00000374315	1337	56	1726	4255
SELENON	2922	2989	ENST00000361547	1439	56	1828	4357
DIO2	5820	5892	ENST00000438257	951	156	977	6148
DIO2	6051	6123	ENST00000557010	1182	387	1208	6379
DIO3	1642	1715	ENST00000359323	654	147	1061	2120
TXNRD1	2179	2265	ENST00000503506	1956	465	1964	3859
TXNRD1	2526	2612	ENST00000526691	2303	656	2311	4206
TXNRD1	2416	2502	ENST00000354940	2193	702	2201	4096
TXNRD1	2289	2375	ENST00000503506	2066	575	2074	3969
TXNRD1	2611	2697	ENST00000526691	2388	747	2396	4291
TXNRD1	2166	2252	ENST00000503506	1943	566	1951	3846
TXNRD1	2189	2275	ENST00000525566	1966	25	1974	3869
SELENOW	380	468	ENST00000601048	120	84	347	758
SELENOT	687	761	ENST00000471696	187	43	630	3437
TXNRD3	2275	2351	ENST00000524230	2058	135	2066	2919
TXNRD3	2167	2243	ENST00000523403	1950	135	1958	2811
MSRB1	871	942	ENST00000361871	326	44	394	1277
SEPHS2	2058	2134	ENST00000542752	325	148	1494	2244
SELENOS	986	1065	ENST00000526049	630	69	638	1218
SELENOM	537	617	ENST00000400299	205	64	501	694
SELENOK	475	562	ENST00000541726	345	72	356	1497
SELENOV	1164	1236	ENST00000335426	917	101	1141	1704
GPX2	971	1035	ENST00000389614	297	180	752	1105
DIO1	1545	1615	ENST00000322679	400	25	510	1661
DIO1	1745	1815	ENST00000361921	400	25	774	1861
DIO1	1553	1623	ENST00000361921	208	25	582	1669
SELENOP	1497	1579	ENST00000511224	1231	100	1245	2085
SELENOP	1468	1550	ENST00000514985	1202	71	1216	2056
